Year,Semester,University,CourseNo,CourseName,Level
2021,Fall,Kent State University,ENGR46411,Requirements eng and analysis,ugrad
2021,Summer,Kent State University,EVAL65511,Research in educ services,grad
2021,Spring,Kent State University,ENGR56411,Requirements eng analysis tech,grad
2020,Fall,Kent State University,ENGR46411,Requirements eng and analysis,ugrad
2020,Fall,Kent State University,ENGR46330,VB programming in engineering,ugrad
2020,Fall,Kent State University,ENGR56330,VB programming in engineering,grad
2020,Summer,Kent State University,TECH46411,Requirements eng and analysis,ugrad
2020,Summer,Kent State University,TECH61095,ST: research in technology,grad
2020,Summer,Kent State University,TECH63496,Ind inv in energy/power tech,grad
2020,Spring,Kent State University,TECH56411,Requirements eng analysis tech,ugrad
2020,Spring,Kent State University,TECH46411,Requirements eng and analysis,ugrad
2020,Spring,Kent State University,TECH60078,Research methods in tech,grad
2019,Fall,Kent State University,TECH56411,Requirements eng analysis tech,grad
2019,Fall,Kent State University,TECH46411,Requirements eng and analysis,ugrad
2019,Fall,Kent State University,TECH60078,Research methods in tech,grad
2019,Fall,Kent State University,TECH26310,Web design and development,ugrad
2019,Summer,Kent State University,TECH56411,Requirements eng analysis tech,grad
2019,Summer,Kent State University,TECH46411,Requirements eng and analysis,ugrad
2019,Summer,Kent State University,TECH60001,Quant methods in tech,grad
2019,Summer,Kent State University,TECH63496,Ind inv in energy/power tech,grad
2019,Spring,Kent State University,TECH60078,Research methods in tech,grad
2019,Spring,Kent State University,TECH56411,Requirements eng analysis tech,grad
2019,Spring,Kent State University,TECH46411,Requirements eng and analysis,ugrad
2019,Spring,Kent State University,TECH26200,Programming for engineers I,ugrad
2019,Spring,Kent State University,TECH26200,Programming for engineers I,ugrad
